"","coordinates_lat","coordinates_lon","date","zipCode"
"1",55.93509,11.686631,2010-01-15,4500
"2",54.760643,11.888906,1993-10-26,4800
"3",55.11722,10.522078,2001-12-17,5771
"4",56.05276,8.397264,2003-05-25,6940
"5",55.661915,11.424347,1996-04-12,4450
"6",56.614895,9.497351,2022-02-18,9632
"7",54.946625,9.101281,1993-08-18,6372
"8",55.802944,12.466801,2014-07-16,2840
"9",55.243546,11.76294,1998-10-09,4700
"10",55.78343,12.474227,1995-04-12,2830
"11",56.122463,12.28627,2018-04-16,3250
"12",56.645332,9.148739,2021-04-30,7840
"13",56.999817,9.876874,2005-10-06,9200
"14",56.472557,9.3919,1998-07-03,8800
"15",55.949196,11.520879,2020-08-13,4500
"16",55.741802,12.3142395,2021-11-15,2765
"17",55.383327,11.694985,2001-04-11,4171
"18",55.67652,8.313073,1996-02-28,6840
"19",56.34121,8.487692,2007-06-27,7500
"20",56.20931,10.264939,2018-04-11,8250
"21",56.644302,8.811291,2019-05-01,7860
"22",55.609547,11.786863,1997-08-22,4340
"23",55.74756,12.458275,2010-02-01,2880
"24",55.65339,12.307191,2005-01-13,2630
"25",56.1718,10.166033,2009-08-31,8210
"26",55.95901,9.577514,1995-07-28,8740
"27",55.453487,10.660222,1999-03-02,5300
"28",55.68627,9.676937,1998-06-20,7080
"29",56.145065,10.187166,2003-08-12,8000
"30",55.70595,12.451337,2020-12-27,2610
"31",55.73093,11.549634,2005-03-30,4532
"32",55.402306,12.120794,2011-05-27,4681
"33",55.84173,12.174138,2015-07-27,3550
"34",55.940083,11.618285,2022-04-26,4500
"35",56.308414,9.584485,1996-06-12,8643
"36",56.14401,8.98703,2020-09-04,7400
"37",56.367046,8.611417,2003-03-28,7500
"38",56.94822,8.509954,2011-06-11,7700
"39",55.612423,12.361846,1994-04-14,2635
"40",56.322,10.32604,2021-10-20,8543
"41",56.105377,10.165596,1996-07-23,8270
"42",55.649704,12.604577,2020-06-11,2300
"43",55.46277,12.058521,2004-01-22,4632
"44",55.70108,12.543197,2007-10-30,2200
"45",55.934853,9.12425,2021-03-04,7330
"46",57.030674,9.964864,2006-05-18,9000
"47",56.103016,8.992306,2019-09-20,7400
"48",56.162083,10.200666,2007-09-10,8000
"49",55.61582,12.594491,2020-07-15,2770
"50",55.376514,10.411242,2017-08-22,5230
"51",55.779877,9.188923,2002-05-06,7323
"52",56.41244,10.910387,1996-06-04,8500
"53",55.510983,11.293033,1996-09-29,4270
"54",54.977287,12.2753525,2008-03-03,4780
"55",55.218025,11.76646,2004-03-29,4700
"56",55.727848,9.150112,2007-03-24,7190
"57",55.47818,8.794918,2010-03-04,6690
"58",56.707325,9.449354,2017-12-02,9620
"59",56.14158,10.192653,2016-06-21,8000
"60",56.981335,10.204989,1992-04-15,9280
"61",55.617577,12.481255,1998-06-04,2650
"62",56.6531,9.77657,2006-02-07,9500
"63",57.010185,10.064712,2012-12-21,9270
"64",55.84684,8.280176,1999-06-25,6893
"65",55.62743,11.15648,1995-01-01,4400
