nr,longitude,latitude
1050,12.58600133,55.68065246
1051,12.59022696,55.6798377
1052,12.58954953,55.67906706
1053,12.59073024,55.67798554
1054,12.58906639,55.67763459
1055,12.58807383,55.67723256
1056,12.58793902,55.67946993
1057,12.58959143,55.67833309
1058,12.58792693,55.67595336
1059,12.58672365,55.67675239
1060,12.5837984,55.67651434
1061,12.5810871,55.67749602
1062,12.5820684,55.67745504
1063,12.58481601,55.67812648
1064,12.58421619,55.67855701
1065,12.58120927,55.67792419
1066,12.58283658,55.67738024
1067,12.58180816,55.67872776
1068,12.58355191,55.67746813
1069,12.58417532,55.67777633
1070,12.58352498,55.67881568
1071,12.58375053,55.67826694
1072,12.58065996,55.67845615
1073,12.58060115,55.67878677
1074,12.5835962,55.67941235
1100,12.58283276,55.67989336
1101,12.5831775,55.68044771
1102,12.58279789,55.68084435
1103,12.58412972,55.68076455
1104,12.58393567,55.68124172
1105,12.58212355,55.68003329
1106,12.58120094,55.68045276
1107,12.58319268,55.68161934
1110,12.5818153,55.68146481
1111,12.58080608,55.68219996
1112,12.57974966,55.68123981
1113,12.58017369,55.68001592
1114,12.57891556,55.68069802
1115,12.5782846,55.68103123
1116,12.58005882,55.68222456
1117,12.58157142,55.6810324
1118,12.58080964,55.68104247
1119,12.57714609,55.6823894
1120,12.57870875,55.68236562
1121,12.57891573,55.68277836
1122,12.57978841,55.68253368
1123,12.57745579,55.68426232
1124,12.57689183,55.68303024
1125,12.5763264,55.6824351
1126,12.57516001,55.68230152
1127,12.57557089,55.68291443
1128,12.57473787,55.68282201
1129,12.57433901,55.68317382
1130,12.57364349,55.68337542
1131,12.5738097,55.68385549
1150,12.57713782,55.68116195
1151,12.57640167,55.67925834
1152,12.57705358,55.68037643
1153,12.57741313,55.67913736
1154,12.5758435,55.67961793
1155,12.57544104,55.68007367
1156,12.57530761,55.67957221
1157,12.57544281,55.67907168
1158,12.57361214,55.67861951
1159,12.57608635,55.68077513
1160,12.57872573,55.67891577
1161,12.57562704,55.67849122
1162,12.57424006,55.67892784
1164,12.57338344,55.67826381
1165,12.57068192,55.68076308
1166,12.57281215,55.67899335
1167,12.57155172,55.6791299
1168,12.57235905,55.67990118
1169,12.57454621,55.680565
1170,12.57446263,55.68008905
1171,12.57230844,55.68176293
1172,12.5736165,55.68095745
1173,12.57365135,55.68174413
1174,12.5724811,55.68241134
1175,12.57414508,55.68255536
1200,12.5798222,55.67820341
1201,12.57787668,55.67813397
1202,12.57894282,55.6777881
1203,12.57680004,55.6765462
1204,12.57548042,55.67653214
1205,12.57678089,55.67723642
1206,12.57706457,55.67754793
1207,12.57661838,55.67810969
1208,12.57500757,55.6769724
1209,12.57572903,55.67789078
1210,12.57425967,55.67809804
1211,12.5742407,55.67746346
1212,12.57874486,55.6770308
1213,12.57779783,55.67665117
1214,12.57975543,55.67457161
1215,12.58576691,55.67544188
1216,12.58304021,55.67524053
1218,12.58039426,55.67606465
1219,12.58340336,55.67370675
1220,12.57862049,55.67358331
1221,12.58192337,55.67283897
